"ID"	"Probesets"	"Symbol"	"logFC"	"FC"	"PValue"	"AdjPVal"
"NM_001109754"	"1560105_at"	"PTPRB"	2.27152824522187	9.69420462115996	9.0213941436236e-06	3.72516071100648e-05
"NM_000878"	"205291_at"	"IL2RB"	2.27449083452556	9.72296715282552	0.00236384250028955	0.00239142066279292
"NM_001271833"	"221081_s_at"	"DENND2D"	2.27600782975583	9.73772804088811	0.000554755841715051	0.000837987082209614
"NM_006255"	"206099_at"	"PRKCH"	2.28543460490821	9.82995744355616	5.45637995703955e-05	0.000147201005952134
"NM_001270616"	"207401_at"	"PROX1"	2.2970769024705	9.94506951742957	0.000970473829788194	0.00124767184218616
"NM_177405"	"219505_at"	"CECR1"	2.29815667578554	9.95581373772795	8.83506948652267e-05	0.000209638560937283
"NM_006187"	"218400_at"	"OAS3"	2.29861205586532	9.96034844941251	1.64863115228578e-05	6.03097796066354e-05
"NM_173216"	"201998_at"	"ST6GAL1"	2.30179275785956	9.99207978680106	0.00052927235771261	0.000809240103605931
"NM_022153"	"225372_at"	"C10orf54"	2.30417499032913	10.0159116189193	0.000266164191690452	0.00048083828677412
"NM_001101669"	"205376_at"	"INPP4B"	2.3058538077114	10.0327406279083	0.000127576395092301	0.000274562026617427
"NM_138402"	"1565588_at"	"SP140L"	2.30626352652633	10.0368520727195	0.000111735496690558	0.000251197949967292
"NM_198282"	"224916_at"	"TMEM173"	2.30883364830523	10.0626811825842	0.0008095150842128	0.00108581017961087
"NM_007368"	"206220_s_at"	"RASA3"	2.3101163617281	10.0755970006828	3.4593094464284e-06	1.65338648345042e-05
"NM_001199805"	NA	"KLRC4-KLRK1"	2.31358730127539	10.1106295515372	0.00211317681119959	0.00223077969460548
"NM_000211"	"1555349_a_at"	"ITGB2"	2.3213681883802	10.1896060738878	0.00113369855820257	0.00141379454507946
"NM_006875"	"204269_at"	"PIM2"	2.32575895532439	10.2344446251895	0.00127769932150781	0.0015418757219786
"NM_002121"	"201137_s_at"	"HLA-DPB1"	2.32589561319258	10.2358433381445	3.72353586756572e-07	2.77296242622667e-06
"NM_018413"	"219634_at"	"CHST11"	2.32919215084594	10.269641859564	6.24001607243163e-05	0.000163262489481293
"NM_004613"	"201042_at"	"TGM2"	2.33728585507367	10.3530985847346	0.00232199816240114	0.00236944500749721
"NM_001195014"	"203547_at"	"CD4"	2.34179249993196	10.3998616162809	7.33241669625957e-05	0.000180925891651608
"NM_001199739"	"202901_x_at"	"CTSS"	2.34296831643491	10.4120971371517	1.53461565391597e-05	5.71708524001506e-05
"NM_033502"	"229016_s_at"	"TRERF1"	2.34842878321931	10.4691075578241	0.000185479453785379	0.000369134519500738
"NM_024562"	"226467_at"	"TANGO6"	2.34999079645217	10.4854732207292	7.1954710165249e-05	0.000179002086353714
"NM_005990"	"203047_at"	"STK10"	2.35197253960459	10.5062733389227	0.00018248058920357	0.000365563424576129
"NM_001257407"	"203233_at"	"IL4R"	2.36396936315519	10.6330743301	3.83351516111277e-05	0.000115474072652104
"NM_000091"	"214641_at"	"COL4A3"	2.36406268093671	10.6340666313062	7.46618082192826e-05	0.000183480638012569
"NM_004513"	"1555016_at"	"IL16"	2.37635976527128	10.7656419840496	0.00224527864587557	0.002309973115333
"NM_002338"	"1570190_at"	"LSAMP"	2.38336874045426	10.8413631554623	0.00167651294993875	0.00190569917717756
